# File: A10.EB_trn_SecFuel_mtoe.csv
# Title: Database of fuel consumption across transport sector
# Units: Energy units in mtoe
# Source:  GHG platform
# Column types: cccccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
State,GHG_Platform_sectors,GHG_Platform_fuels,sector,fuel,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
India,trn_pass_dom_aviation,oil,trn_pass,refined liquids,0.01689051,0.01818817,0.01735097,0.0186277,0.02000908,0.02132767,0.02321137,0.0257439,0.02551367,0.02509507,0.02513693,0.0255346,0.02693691,0.02978339,0.03237871,0.03572751,0.03687866,0.03817632,0.03957863,0.03740191,0.03476473,0.03489031,0.03880422,0.04242511,0.04640181,0.04811807,0.04700878,0.0470925,0.0489762,0.05014828,0.05029479,0.05058781,0.05538078,0.06266442,0.07348523,0.08880599,0.10128027,0.09860123,0.10316397,0.1132313,0.12344514,0.11752195,0.12271259,0.12758928,0.1396031,0.15603315,0.17018183,0.18506306,0.17834453,0.08244327,0.11164062
India,trn_pass_dom_aviation,electricity,trn_pass,electricity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,trn_pass_dom_aviation,hydrogen,trn_pass,hydrogen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,trn_pass_hsr,electricity,trn_pass,electricity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,trn_pass_rail,electricity,trn_pass,electricity,0.002785859,0.003124557,0.002626509,0.002627243,0.003183785,0.003703505,0.00394138,0.003743698,0.003942353,0.003881661,0.004283042,0.004500551,0.004640683,0.004940602,0.0052774,0.005526411,0.006144164,0.00684235,0.006902996,0.006982344,0.007674579,0.008618295,0.009540084,0.010001524,0.010574242,0.011208221,0.011828198,0.012442559,0.013760948,0.013981395,0.013804479,0.014974576,0.015675273,0.016310166,0.01686958,0.018246866,0.018674162,0.019857575,0.02083231,0.022354673,0.023827511,0.023677687,0.026114569,0.027301694,0.028084706,0.026389517,0.029146971,0.031488697,0.031921787,0.024332426,0.033957639
India,trn_pass_rail,oil,trn_pass,refined liquids,0.006426539,0.006911497,0.007268653,0.008239709,0.00872923,0.009143441,0.009798419,0.010569786,0.011937936,0.012457125,0.013104115,0.010164704,0.010917814,0.011707439,0.012725278,0.01384125,0.015228799,0.016608359,0.019121009,0.019522667,0.020642063,0.021735213,0.023030335,0.024608442,0.02770304,0.029748989,0.030648157,0.031732179,0.033393586,0.034148978,0.034031447,0.035058415,0.035481755,0.038448552,0.040502488,0.04208402,0.049748626,0.057048089,0.062567473,0.067842667,0.072928442,0.077816811,0.079400624,0.08299159,0.091047586,0.094460544,0.101815919,0.106376799,0.107239452,0.09610027,0.104166535
India,trn_pass_road_bus,electricity,trn_pass_road,electricity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,trn_pass_road_bus,gas,trn_pass_road,gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.56E-04,5.56E-04,0.0016907,0.004115519,0.008231038,0.011300993,0.013058431,0.015016083,0.01621737,0.018597697,0.019331816,0.027028949,0.030566071,0.04008738,0.036728226,0.038952831,0.041177436,0.043668994,0.047940235,0.053479501,0.062333429,0.065803812,0.052723136,0.080864387
India,trn_pass_road_bus,oil,trn_pass_road,refined liquids,0.019997611,0.021506664,0.022618037,0.025639693,0.027162948,0.028451857,0.030489965,0.032890247,0.037147551,0.038763125,0.040776379,0.031629744,0.033973214,0.036430307,0.039597542,0.043070139,0.047387805,0.051680616,0.059499284,0.060749134,0.064232383,0.067633965,0.071664024,0.076574659,0.08620419,0.092570617,0.095368578,0.098741755,0.103911592,0.106262163,0.10589644,0.109092081,0.110409395,0.119641246,0.126032528,0.130953815,0.154803949,0.177517855,0.19469265,0.211107592,0.226933116,0.242144367,0.247072755,0.258246847,0.283314875,0.293935055,0.316822945,0.331015142,0.33369948,0.299037428,0.324137412
India,trn_pass_road_bus,hybrid oil,trn_pass_road,refined liquids,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
