# File: fuel_energy_input.csv
# Title: Mapping between intermediate fuel names and minicam-energy-input names
# Units: NA
# Source: NA
# Column types: cc 
# ----------
minicam.energy.inputfuel
regional biomassbiomass
delivered biomassbiomass
regional biomassOilbiomass oil
regional coalcoal
delivered coalcoal
regional corn for ethanolcorn
elect_td_indelectricity
elect_td_reselectricity
elect_td_comelectricity
elect_td_trnelectricity
regional natural gasgas
wholesale gasgas
delivered gasgas
regional oiloil
regional sugar for ethanolsugar
regional sugarbeet for ethanolsugarbeet
refined liquids enduserefined liquids
refined liquids industrialrefined liquids
